Title;Content;Region;Categorie;Adresse;Phone;_company_website
Casa Nostra;C’est sur la place de l’église de Limonest avec une grande terrasse pour les jours ensoleillés que Kevin a élu domicile, encouragé par ses parents qui l’aident au quotidien à cette Casa Nostra, qui est la leur. Pour régaler ses hôtes, on retrouve dans ses assiettes une parmigiana dont le secret reste familial, une salade d’antipastis authentique ou les boulettes de sa Nonna . Les pizzas sont à l’honneur avec un vrai four à bois, et une pizza bianca parme particulièrement plébiscitée au jambon de parme, roquette et mozzarelle. Il faudra garder une place pour le dessert car ceux-ci sauront vous étonner par leur créativité. UNE ADRESSE PAS COMME LES AUTRES, OÙ LA CUISINE EST UN PATRIMOINE FAMILIAL QU’IL FAUT ENTRETENIR ET PARTAGER.;Limonest;Restaurant;5 Place Decurel, 69760 Limonest;04 74 71 50 39;https://restaurant-limonest.com/
Tipico;Tipico est l’Epicerie Conviviale italienne qui vous propose la meilleure sélection de produits gastronomiques et de vins provenant d’Italie et vous permet de déguster sur place des plats authentiques et traditionnels, le tout dans une ambiance familiale et chaleureuse : un petit voyage en Italie, par les soins de Alessandro et Simone. Mozzarella et burrata di bufala authentiques, artisanales, sans conservateurs, pâtes artisanales fraîches et sèches, huile d’olive des petits producteurs régionaux, les tomates du Vésuve réputée pour leur goût unique, une ample gamme de vins de vif vérins sélectionnés, gâteaux et gourmandises de la tradition. Tous les midis, il est possible de découvrir une carte simple mais très représentative de la gastronomie italienne et qui change toutes les semaines, selon les arrivages et les saisonnalités:  des pâtes et des risottos fait sur le moment, des entrées réalisées avec nos produits frais, des desserts maison ou des dégustations des spécialités provenant des meilleurs artisans d’italie. Soirées et dîner à thèmes et déontologie organisés régulièrement.;Lyon 1;Epicerie;10 Rue de la Martinière, 69001 Lyon;04 72 02 29 91;http://www.tipico-lyon.fr/
Mangiabuono;L’épicerie italienne du 1er arrondissement ! Chez Mangiabuono on retrouve des produits frais 100% italiens. Charcuteries, fromages, pâtes fraiches, antipasti, huiles et condiments, vins, sauces, douceurs, mais aussi authentiques panini et assiettes gourmandes le midi. Pour l’aperitivo on peut commander des plateaux sur mesure;Lyon 1;Epicerie;48, Rue Sergent Blandan, 69001;09 86 71 69 45;http://www.mangiabuono.fr/
Wazza;Un concept à part(s) ! Chez Wazza on retrouve des pizzas cuites au feu de bois, une pâte faite maison à fermentation lente (72h minimum), agrémentées de produits 100% frais, sélectionnés avec grand soin et principalement français. Avec un look design & urbain, Wazza propose un incontournable italien, un savoir-faire français et une tendance de consommation US : le ''Pizza Bar''. C'est des pizzas cuites au feu de bois & vendues à la part, un service professionnel mais décomplexé, une consommation libre, sur place ou à emporter, à toutes heures (de 11h à minuit).;Lyon 1;Pizzeria restaurant;17 Rue Désirée, 69001 Lyon;04 78 28 64 10;https://www.wazza.pizza/
Carlino;Carlino est une pizzeria situé dans le premier arrondissement de Lyon, qui offre un service de pizzas uniquement. ;Lyon 1;Pizzeria restaurant;15 Rue de l'Arbre Sec, 69001 Lyon;04 78 28 03 18;https://www.facebook.com/pizzeriacarlino69/
Le Balmoral;La Balmoral est un restaurant pizzeria à Lyon Presqu’ile ouvert en 1967 par Salvatore Carlino et repris par son fils Jean-François, ce qui en fait le plus vieux restaurant Lyonnais de père en fils. Dans une ambiance typique, on peut déguster des spécialités de la gastronomie italienne en famille où lors d’un repas d’entreprise. Depuis toutes ces années ils ont su conserver leur savoir faire à l’élaboration de plats traditionnels italiens, pizzas au feu de bois, antipasti… pour vous proposer une cuisine « faite maison».;Lyon 1;Pizzeria restaurant;14 Rue Lanterne, 69001 Lyon;04 78 28 72 53;http://www.lebalmoral.fr/
Giuseppe;Dans un cadre convivial à l'italienne dans le centre de Lyon, la trattoria Giuseppe vous accueille du mardi au samedi, midis et soirs dans une ambiance chaleureuse. Le midi on peut profiter d'une cuisine italienne, préparée maison par Jordan, le chef, avec des produits de qualité sélectionnés. Si on n’a pas de temps,  on peut emporter un sandwich, garni des produits italiens, naturellement ! Le soir on retrouve une ambiance cosy, avec des planches à partager, et des produits italiens comme la burrata, le jambon de Parme, le Gorgonzola au lait de chèvre... mais aussi les focaccias garnies, les salades ou encore les pizzas en base tomate ou en base crème. Finalement, les vins italiens !  Au verre ou en bouteilles, on peut profiter d'un Nero d'Avola (producteur sicilien), d’un Primitivo Eremo Delle Fate IGT (région des pouilles) ou encore d’un Falanghina IGT (région de Naples) !;Lyon 1;Comptoir pizzeria;3 Place d'Albon, 69001 Lyon;04 78 08 55 06;https://www.giuseppe-lyon.fr/
LA PIAZZA PAPA;Chez la Piazza Papa, tout est fait maison : les pizzas, les salades, les desserts, et même le pain ! Sauf les glaces et les sorbets, qui sont de marque Miko Carte d’Or. Une ambiance agréable, située dans le deuxième arrondissement, où on peut gouter des plats italiens et on peut profiter du Happy Hour tous les jours, de 19h à 19h30 avec une réduction de 20% sur toute la carte.;Lyon 2;Pizzeria restaurant;34 Rue Tupin, 69002 Lyon, France;04 72 40 02 99;lapiazzapapa.fr/
CASA NOBILE;Le restaurant sicilien Casa Nobile se situe non loin de l'Hôtel-Dieu et de la rue de la République. La carte propose les antipasti, les pizzas, mozzarella, charcuterie, les pates et les viandes.;LYON 2;Restaurant;3 Place de l'Hôpital, 69002 Lyon;04 78 03 02 54;https://www.facebook.com/pages/Casa-Nobile/682791461809792
PIZZERIA NAPOLI CHEZ NICCOLO ET FRANCO;Pizzeria située dans le deuxième arrondissement. ;LYON 2;Pizzeria;5 Rue Franklin, 69002 Lyon;04 78 37 23 37;http://pizzeria-napoli-lyon.com/
PIZZERIA AVARELLO;Situé dans le deuxième arrondissement, Pizzeria Avarello propose plusieurs type de pizzas à l'italienne. ;LYON 2;Pizzeria;13 Cours Suchet, 69002 Lyon;04 78 37 30 55;https://it-it.facebook.com/pages/category/Pizza-Place/Pizzeria-Avarello-139096912825649/
SPECIAL PIZZA;Pizzeria située dans le deuxième arrondissement. ;LYON 2;Pizzeria;42 Rue Mercière, 69002 Lyon;04 78 42 10 86 ;
PIZZERIA ITALIA CHEZ NICOLO';Pizzeria située dans le deuxième arrondissement. ;LYON 2;Pizzeria;53 Cours Charlemagne, 69002 Lyon;04 78 42 81 46;
LE MONNALISA;Votre restaurant italien à Lyon 2 ! Chez le Monna Lisa on peut découvrir les spécialités typiques de l'Italie Romaine. L’équipe vous accueille dans une ambiance conviviale et vous propose ses délicieux plats italiens, tous faits maison par leurs cuisiniers expérimentés, avec un large choix de spécialités typiques de l'Italie Romaine comme les pâtes fraîches aux cèpes, au saumon, carbonara, al pesto maison et beaucoup d’autre !;LYON 2;Restaurant;44-46 Cours Charlemagne, 69002 Lyon;04 72 40 00 07;http://www.lemonnalisa.com/
